용어,초성,설명
가로장방형토지(가로長方形土地),ㄱ,"가로장방형토지란 표준지공시지가 산정을 위한 조사시 토지의 형상을 표현하는 용어로서, 장방형의 토지로 넓은 면이 도로에 접하거나 도로를 향하고 있는 토지나 이와 비슷한 형상의 토지를 의미한다."
가사소송규칙(家事訴訟規則),ㄱ,가사소송법에서 위임한 가사사건의 재판과 조정의 절차를 규정한 대법원 규칙. 1990.12.31에 대법원규칙제1139호로 공표되었다. 가사소송법에서는 한정치산과 금치산 선고에 관한 재판절차를 규정하고 있다(동법 제2장 라류 가사비송사건 중 제2절 제2절 한정치산 및 금치산(제32조 내지 제38조) 참조).
가사소송법(家事訴訟法),ㄱ,인격의 존엄과 남녀의 평등을 기본으로 하고 가정평화와 친족상조의 미풍양속을 유지ㆍ향상하기 위하여 가사에 관한 소송과 비송 및 조정에 대한 절차의 특례를 규정함을 목적으로 1990.12.31에 법률제4300호로 제정된 법률을 의미한다. 법률 시행 이전에는 가사심판법과 인사소송법에 규정된 사항이 가사소송법으로 통합되었다. 가사소송법에서는 한정치산과 금치산 선고에 관한 재판절차를 규정하고 있다.
가사심판규칙(家事審判規則),ㄱ,"가사심판법에서 위임한 가사사건의 재판과 조정의 절차를 규정한 대법원 규칙. 1990.12.31 가사소송법 부칙 제2조에 의해 가사심판법이 폐지됨에 따라, 동 규칙의 내용은 신설된 가사소송규칙에서 정하고 있다."
가산금(加算金),ㄱ,가산금이란 조세를 납부기한까지 납부하지 아니한 때에 가산하여 징수하는 금액을 의미한다. 통상 납부기한 경과한 날로부터 체납된 세액의 5%를 징수하고 있다.
가산세(加算稅),ㄱ,"가산세란 세법이 규정하는 의무를 성실한 이행을 확보하기 위하여 그 세법에 의하여 산출한 세액에 가산하여 징수하는 금액을 의미한다. 예를 들어 신고불성실가산세, 납부불성실가산세 등이 가산세의 범위에 포함된다."
가상(家相),ㄱ,풍수지리설에 의거 주택의 방위ㆍ환경ㆍ형태ㆍ구조 등에 관하여 주택에 미치는 영향이 좋고 나쁨을 지적하는 것을 의미한다.
가석방(假釋放),ㄱ,"징역 또는 금고의 집행 중에 있는 자가 그 행장(行狀)이 양호하여 개전(改悛)의 정이 현저한 때에는 무기에 있어서는 10년, 유기에 있어서는 형기의 3분의 1을 경과한 후 행정처분으로 가석방을 할 수 있다(형법 제72조제1항). 가석방은 이미 죄를 뉘우치고 있는 자를 더 이상 가두어두지 않고 사회로 되돌려보냄으로써 수형자(受刑者)에게 장래의 희망을 가지도록 하여 수형자 자신의 개선을 촉진하기 위한 형사정책적인 제도이다.
가석방의 처분을 받은 후 그 처분이 실효 또는 취소되지 아니하고 가석방기간을 경과한 때에는 형의 집행을 종료한 것으로 본다(형법 제76조제2항)."
가설건축물(假設建築物),ㄱ,"건축법에서 가설건축물이란 일시적 용도로 사용되는 건축물로서, 다음과 같은 조건을 만족한 것을 말한다.
  1. 철근콘크리트조 또는 철골철근콘크리트조가 아닐 것
  2. 존치기간은 3년이내일 것. 다만, 도시계획사업이 시행될 때까지 그 기간을 연장할 수 있다.
  3. 3층이하일 것
  4. 전기ㆍ수도ㆍ가스등 새로운 간선공급설비의 설치를 요하지 아니할 것
  5. 공동주택ㆍ판매 및 영업시설 등으로서 분양을 목적으로 건축하는 건축물이 아닐 것
  6. 도시계획법 제14조의2의 규정에 적합할 것

가설건축물은 시장ㆍ군수ㆍ구청장의 가설건축물의 허가를 받아야 하나, 재해복구ㆍ흥행ㆍ전람회ㆍ공사용 가설건축물등 다음의 가설건축물은 그 건축물의 존치기간을 정하여 착공 5일전에 시장ㆍ군수ㆍ구청장에게 신고하고 건축할 수 있다(건축법 제15조 및 시행령 제15조).
  1. 재해가 발생한 구역 또는 그 인접구역으로서 시장ㆍ군수ㆍ구청장이 지정하는  구역안에서 일시사용을 위하여 건축하는 것
  2. 시장ㆍ군수ㆍ구청장이 도시미관이나 교통소통에 지장이 없다고 인정하는 가설흥행장ㆍ가설전람회장 기타 이와 유사한 것
  3. 공사에 필요한 규모의 범위안의 공사용 가설건축물 및 공작물
  4. 전시를 위한 견본주택 기타 이와 유사한 것
  5. 시장ㆍ군수ㆍ구청장이 도로변등의 미관정비를 위하여 필요하다고 인정하는  가설점포(물건등의 판매를 목적으로 하는 것을 말한다)로서 안전ㆍ방화 및 위생에 지장이 없는 것
  6. 조립식구조로 된 경비용에 쓰이는 가설건축물로서 연면적이 10제곱미터이하인 것
  7. 조립식 구조로 된 외벽이 없는 자동차 차고로서 높이 8미터이하인 것
  8. 컨테이너 또는 폐차량으로 된 가설건축물로서 임시사무실ㆍ창고 또는 숙소로 사용되는 것(건축물의 옥상에 건축하는 것을 제외한다)
  9. 도시계획구역중 주거지역ㆍ상업지역 또는 공업지역에서 설치하는 농ㆍ어업용 비닐하우스로서 연면적이 100제곱미터이상인 것
  10. 연면적이 100제곱미터이상인 간이축사용ㆍ가축운동용ㆍ가축의 비가림용 비닐하우스 또는 천막구조의 건축물
  11. 농업용 고정식온실
  11의2. 공장안에 설치하는 창고용 천막 기타 이와 유사한 것
  11의3. 유원지ㆍ종합휴양업사업지역 등에서 한시적인 관광ㆍ문화행사 등을 목적으로 천막 또는 경량구조로 설치하는 것
  12. 기타 건축조례로 정하는 건축물"
가압류(假押留),ㄱ,"금전채권 또는 금전으로 환산할 수 있는 채권을 위하여 채무자의 재산을 확보하여 장래의 강제집행의 불능 또는 곤란을 초래하지 않도록 보전할 것을 목적으로 한 명령을 의미한다. 그 집행으로서의 처분, 가처분과 더불어 보전소송의 일종이다.
가압류 제도는 채무명의를 취득하고 강제집행에 착수할 때까지 채무자의 재산은닉이나 도망 및 빈번한 주소이동 등의 사실이 생겨 채무명의를 얻어도 집행이 가능 또는 현저히 곤란하게 될 염려가 있을 때 채무자의 재산을 한동안 확보하여 강제집행을 가능하게 하려는 제도이다. 그 절차는 보통의 판결절차 및 강제집행 절차에 대응하여 가압류명령을 발하는 소송절차와 가압류명령의 집행절차로 구분된다. 가압류명령을 발하는 요건으로서는 피보전청구권이 금전채권 또는 금전으로 환산할 수 있는 채권일 것과 장래에 있어서 집행이 불능 또는 현저하게 곤란하게 될 위험이 있을 것 등이 필요하다.
  가압류법원은 가압류할 물건의 소재지를 관할하는 지방법원 또는 본안의 관할법원이 되며, 이 관할은 전속이다. 다만, 급박한 경우에는 재판장도 가압류명령을  발할 수 있다. 이 심리는 임의변론주의에 의하여 채무자의 청구나 가압류의 이유의 소명으로써 충분할 것으로 인정하여 간이ㆍ신속화를 도모하고 있다. 그리하여 변론을 거친 경우에는 판결, 기타의 경우에는 결정으로 가압류명령을 발한다. 이 재판에 대한 굴복신청제도로서는 판결에 대하여는 항소나 상고를, 결정에 대하여서는 이의신청을 할 수 있다.
  일단 발하여진 가압류명령이 전술한 이의 또는 상소에 의하여 취소되는 경우 이외에, 채무자의 신청에 의하여 별개의 소송절차로 취소되는 경우가 있다. 본안소송부제기에 의한 취소가 그것이다. 가압류명령의 집행절차는 강제집행의 규정에 준하여 행하여진다. 그러나 그 집행요건에 있어서는 집행문의 원칙적 불요, 가압류명령 송달전의 집행가능, 집행기간의 제한, 집행방법에 있어서 환가 절차까지는 들어가지 아니하는 것이 원칙인 것, 가압류의 집행의 취소에 관하여는 가압류해방금액의 공탁에 의한 취소가 인정되는 것 등 보전절차에서 오는 현저한 차이가 있다."
가압류명령(假押留命令),ㄱ,"가압류신청을 인용하여 가압류를 허가하는 판결ㆍ변론을 거치느냐 거치지 않느냐에 따라서 판결의 형식으로 행하기도 하고, 결정의 형식으로 행하기도 한다. 판결의 경우에는 선고에 의하여 효력을 발생하지만, 결정의 경우의 고지방법은 당사자에 송달하는 것이다. 가압류명령에는 다음의 사항들이 포함된다.
  1. 당사자나 법정대리인 및 보전되어야 할 청구권의 원인과 금액
  2. 담보결정을 한 경우에는 그 담보를 제공한 사실과 그 방법을 기재하여야 하고, 조건부가압류명령에 있어서는 그 뜻
  3. 가압류의 목적물
  4. 가압류해방금액
  5. 가압류재판절차의 소송비용
  6. 그 밖에 일반재판서에 기재할 사항 등이다.
  가압류명령을 종국판결로 한때에는 불복방법으로 항소나 상고를 할 수 있고, 결정으로 한 때에는 가압류를 한 법원에 이의신청을 한다. 이의는 관할위반이나 그 밖의 절차상의 이유로, 청구 또는 가압류의 이유를 다루는 경우에도 할 수 있는데, 가압류 결정 그 자체의 취소를 구하기 위한 유일한 불복방법이다. 이의를 신청할 수 있는 자는 채무자 또는 그 소송 승계인에 한한다."
가집행선고(假執行宣告),ㄱ,"재산권의 청구에 관한 판결에는 상당한 이유가 없는 한 당사자의 신청유무를 불문하고 법원이 직권으로 담보를 제공하거나 제공하지 아니하고 가집행할 수 있음을 선고하여야 한다. 다만, 어음금 또는 수표금의 청구에 관한 판결에는 담보를 제공하게 하지 아니하고 가집행의 선고를 하여야한다(민사소송법 제199조제1항).
가집행의 선고는 그 선고 또는 본안판결을 변경한 판결의 선고로 인하여 변경의 한도에서 그 효력을 잃는다. 본안판결을 변경하는 경우에는 법원은 피고의 신청에 의하여 그 판결에 가집행선고로 인한 지급물의 반환, 가집행으로 인한 손해 또는 그 면제를 받기 위한 손해의 배상을 원고에게 명하여야 한다(민사소송법 제201조제1항 및 제2항).
가집행이란 확정되지 않은 종국판결(終局判決)에 관하여 집행력이 주어지는 형식적 재판이다. 법원이 가집행선고를 할 수 있게 하는 목적은 강제집행의 지연을 위한 패소자의 고의적 상소를 막고, 제1심에서 피고의 집중적 변론을 유도하며 판결이 상소심에서 취소 또는 변경되는 경우에는 피고가 집행을 받지 아니한 상태로 회복시킬 무과실책임(無過失責任)을 원고가 지는 것을 전제로 인정된 제도이다. 그러므로 상대방이 상소하여도 집행은 계속되는 것이다. 다만 경우에 따라서는 집행의 정지 또는 취소가 명해지는 때도 있다(민사소송법 제474조).
가압류나 가처분 등도 가집행의 일종이지만, 이들의 집행 효력은 확정판결의 집행과 동일한 것이므로 그 판결이 상소심에서 취소되더라도 이미 완료한 집행절차는 무효로 되지 않는 점에서 구별된다."
가처분(假處分),ㄱ,"권리의 실현이 소송의 지연이나 강제집행을 면하기 위한 채무자의 재산은닉 등으로 위험에 처해 있을 경우에, 그 보전을 위하여 그 권리에 관한 분쟁의 소송적 해결 또는 강제집행이 가능하게 되기까지 잠정적ㆍ가정적으로 행하여지는 처분으로서, 가압류와 유사한 보전소송의 일종을 말한다(민사소송법 제714조 참조).
가처분은 명령을 발하는 소송절차와 그 집행절차로 구분되며, 가처분으로 부동산의 양도나 담보를 금한 때에는 그 금지의 취지가 기입된다(민사소송규칙 제719조제3항).
가처분에는 민사소송법상 분쟁의 대상물에 관한 가처분과 임시의 지위를 정하는 가처분이 있다. 금전채권 이외의 특정물의 급여ㆍ인도 그 밖의 특정의 급여를 목적으로 하는 청구권의 집행보전을 목적으로 하는 것이 분쟁의 대상물에 관한 가처분이며, 다투는 권리관계에 대하여 임시의 지위를 정하는 것을 목적으로 하는 재판이 임시의 지위를 정하는 가처분이다. 그 절차는 가압류에 관한 규정이 준용되고, 특별한 경우에만 규정이 설정되어 있다.
부동산처분금지가처분의 효력을 보면, 채무자 소유의 부동산에 대하여 처분금지가처분결정이 된 경우에 가처분채무자는 그 부동산을 처분할 수 없는 것이 아니고 다만 그 처분을 가지고 가처분에 저촉하는 범위내에서 가처분채권자에게 대항할 수 없는 것에 지나지 않는다(대법원 1988.9.13. 선고 86다카191 판결). 다만, 처분금지가처분의 등기가 있는 부동산을 취득한자는 소유권이전등기를 하였다 하더라도 이로써 가처분 채권자에게 대항할 수 없다(대법원 1981. 7. 14. 선고 80다1720,80다1721 판결)."
"간석지(干潟地, tidal marsh, tideland, tidal flat)",ㄱ,"간석지란 바닷가의 만조시에 바닷물이 들어오는 극히 평평한 해안퇴적지형의 갯벌을 말하는 것으로, 만조수위선으로부터 간조수위선까지의 사이의 토지로 형성된다(공유수면관리법 제2조제4호)."
"간선도로(幹線道路, arterial highway, arterial road)",ㄱ,"도로망의 기본이 되는 주요 도로를 의미한다. 일반적으로는 중요 도시간을 연결한다든지, 도시 내의 중요 지구를 연결하기 위한 도로를 의미한다."
간선시설(幹線施設),ㄱ,간선시설이라 함은 도로ㆍ상하수도ㆍ전기시설ㆍ가스시설ㆍ통신 시설 및 지역난방시설등 주택단지(2이상의 주택단지를 동시에 개발하는 경우에는 각각의 주택단지를 말한다)안의 기간시설과 그 기간시설을 당해 주택단지밖에 있는 동종의 기간시설에 연결시키는 시설을 말한다. 이 경우 주택단지의 범위는 대통령령으로 정한다(주택건설촉진법 제3조제8호).
간접세(間接稅),ㄱ,"조세 전가 여부에 따른 분류의 명칭으로, 간접세란 세금을 부담하는 자와 세금을 납부하는 자가 일치하지 않는 세금을 의미한다. 예를 들어 부가가치세나 특별소비세, 주세, 증권거래세등이 이에 포함된다."
간접수집방법(間接蒐集方法),ㄱ,중개대상물의 중개의뢰 기법 중 하나로서 간접수집방법이란 중개업자와 중개대상물에 대한 권리자와의 사이에 유력한 제3자를 개재(介在)시켜 제3자의 소개(紹介)나 주선(周旋)등을 받아 중개대상물을 중개의뢰계약을 수집하는 방법이다. 이때 제3자로서 가장 유력한 자는 부동산관련업자 혹은 과거의 고객 등이 있다.
간주(看做),ㄱ,"법률에서 사용하는 간주란 용어는 본래 성질을 달리하는 것을 일정한 사실관계에서 분쟁을 방지하고 법률적용을 명확히 하기 위하여 법령으로써 그렇다고 擬制하여 같이 취급하려는 것이다. 따라서 ?간주한다?의 경우에는 본래 성질을 달리하는 것을 특별히 규정을 둠으로써 법률상의 관계에서 동등한 것으로서 취급하는 것이므로, 이에 대해서 反對의 證據를 제시하여 부정하는 것은 허용되지 아니한다. ?간주한다?라는 法令用語는 현재에는 ?본다?로 통일되어 널리 사용되고 있다."
감가수정(減價修正),ㄱ,감가수정이라 함은 대상물건에 대한 재조달원가를 감액하여야 할 요인이 있는 경우에 물리적 감가ㆍ기능적 감가 또는 경제적 감가등을 고려하여 그에 해당하는금액을 재조달원가에서 공제하여 가격시점에 있어서의 대상물건의 가격을 적정화하는 작업을 말한다(감정평가에관한규칙 제4조제4호).
감보(減步),ㄱ,"환지방식의 도시개발사업(토지구획정리사업)을 시행하면 공원, 도로 등의 공공용지의 조성과 공사비 등에 쓰일 사업비를 충당하기 위하여 전체 토지 중 일부를 제외한 나머지를 종전 토지의 관계 권리자에게 배분한다(환지처분). 이와 같은 환지처분에 의하여 종전의 토지면적에 비하여 사업시행후 환지로 받게된 면적이 감소하는 것을 감보라 한다(도시개발법 참조)."
감보율(減步率),ㄱ,"환지방식의 도시개발사업(토지구획정리사업)의 환지계획에서 정하는 환지의 면적은, 대부분 종전의 면적보다 작아지므로 그 감소된 면적을 감보라 하며, 감보된 면적을 종전 토지의 면적으로 나눈 값을 감보율이라 한다.
     감보율 = (종전 토지의 면적 - 환지 후의 토지면적) ÷ 종전토지의 면적 × 100%"
감수(監守),ㄱ,"파산자가 도망하거나 재산을 은닉 또는 손괴할 우려가 있는 때에는 파산자에게 내리는 명령으로, 감수를 명령받은 파산자는 법원의 허가를 얻지 아니하면 타인과 면접 또는 통신을 할 수 없다. 파산자의 감수는 파산자의 주거지를 관할하는 경찰서의 경찰관리가 집행한다(파산법 제139조 및 140조)."
감액청구권(減額請求權),ㄱ,"매매의 목적물이나 임대차의 목적에 대한 하자를 근거로 매수인이나 임차인이 매매대금이나 임료(賃料)의 감액을 청구할 수 있는 권리를 의미한다.
매매의 목적이 된 권리의 일부가 타인에게 속함으로 인하여 매도인이 그 권리를 취득하여 매수인에게 이전할 수 없는 때에는 매수인은 그 부분의 비율로 대금의 감액을 청구할 수 있다(민법 제567조제1항). 또한, 경매의 경우에도 경락인은 채무자에게 감액을 청구할 수 있다(민법 제578조제1항).
또한 임차 대상 부동산 등 물건의 일부가 임차인의 잘못이 없이 사용불능이 되거나 기능적 또는 경제적 감가요인에 의하여 사용가치가 저하되는 등의 문제로 임대인에게 월세 등 임료(賃料)의 감액을 청구할 수 있다(민법 제627조 및 제628조)."
감정평가(鑑定評價),ㄱ,토지 등의 경제적 가치를 판정하여 그 결과를 가액으로 표시하는 것을 말한다(지가공시및토지등의평가에관한법률 제2조제4호).
감정평가업(鑑定評價業),ㄱ,감정평가업이라 함은 타인의 의뢰에 의하여 일정한 보수를 받고 토지등의 감정평가를 업으로 행하는 것을 말한다(지가공시및토지등의평가에관한법률 제2조제5호). 감정평가업자라 함은 지가공시및토지등의평가에관한법률에 의하여 등록을 한 감정평가사와 동법 제19조에 의해 인가를 받은 감정평가법인을 말한다(동조제6호).
갑구(甲區),ㄱ,"부동산등기부 중 소유권에 관한 사항을 기재하는 부분을 말한다. 갑구는 소유권에 관한 사항이 접수된 일자순으로 적혀있다. 또한, 소유권에 대한 압류, 가등기, 경매개시결정등기 그리고 소유권의 말소 또는 회복에 관한 재판이 진행 중임을 예고하는 예고등기, 소유자의 처분을 금지하는 가처분등기 등이 모두 갑구에 기재된다. 아울러 이러한 권리관계의 변경이나 소멸에 관한 사항도 역시 갑구에 기재한다."
강제경매(强制競賣),ㄱ,"집행력있는 채무명의(집행명의) 정본을 가진 채권자의 신청에 의하여 국가권력기관인 법원이 채무자의 소유재산을 압류ㆍ환가(押留ㆍ換價)한 금액으로 채무명의에 표시된 사법상의 이행청구권을 실현하는 절차로서, 민사소송법에서 정한 절차에 따라 부동산등을 매각하는 절차를 의미한다(민사소송법 제478조).
이때의 집행력있는 채무명의는 확정판결문 및 가집행선고 있는 판결(민사소송법 제469조, 제519조)이나 지급명령, 공정증서, 화해조서, 청구의 인락조서, 조정조서, 검사의 집행명령서(과태료: 법제523조), 판결이외의 보전집행채무명의(가압류, 가처분결정) 등이 있다.
강제경매는 일단 유효한 집행력있는 정본에 기하여 경매절차가 완결된 때에는, 그 채무명의에 표시된 실체상의 청구권이 당초부터 부존재 또는 무효라든가 경매절차 완결시 까지 변제하였다는 등의 사유로 소멸되거나, 재심에 의해 채무명의가 폐기된 경우라도 경매절차가 유효하다면 경락인은 유효하게 목적물의 소유권을 취득한다."
강제관리(强制管理),ㄱ,"채권자의 신청에 의한 법원의 부동산에 대한 강제집행 방법의 일종으로 채무자의 부동산으로부터 발생된 수익으로 채권자의 채권을 강제로 변제하는 방식을 의미한다. 법원은 강제관리개시결정에 채무자에 대하여 관리사무에 대한 간섭과 부동산수익의 처분을 금한다. 또한, 부동산수익을 채무자에게 지급할 임차인 등 제3자에 대하여는 법원이 임명한 관리인에게 지급할 것을 명하여야 한다. 법원이 임명한 관리인은 대상 부동산의 관리와 수익 업무를 수행 하기 위하여 부동산을 점유할 수 있다."
강제집행(强制執行),ㄱ,"사법상 또는 행정법상의 의무를 이행하지 않는 자에 대하여 국가가 강제적으로 그 의무의 이행을 실현하는 작용이나 절차를 말한다. 민사소송법에서는 제7편에서 강제집행에 대해 상세히 규정하고 있다. 민사소송법의 강제집행은 사법상 채무불이행자에 대하여 채권자의 자력구제는 허용되지 않으므로, 법원에 소를 제기하여 채무명의를 받아 강제집행을 신청하여야 한다. 부동산에 관한 강제집행방법은 강제경매와 강제관리가 있다."
강제집행면탈죄(强制執行免脫罪),ㄱ,"강제집행을 면할 목적으로 재산을 은닉, 손괴, 허위양도 또는 허위의 채무를 부담하여 채권자를 해한자는 3년이하의 징역 또는 1천만원이하의 벌금에 처한다(형법 제327조)."
강제집행효용침해죄(강제집행효용침해죄),ㄱ,강제집행으로 명도 또는 인도된 부동산에 침입하거나 기타 방법으로 강제집행의 효용을 해한 자는 5년이하의 징역 또는 700만원이하의 벌금에 처한다(형법 제140조의2).
"강행규정(强行規定, imperative) = 강행법규(强行法規)",ㄱ,"강행규정 혹은 강행법규라 함은 법령 중 선량한 풍속 기타 사회질서에 관계 있는 규정으로서, 당사자의 의사여부와 관계없이 강제적으로 적용되는 규정을 의미한다. 강행법규에 위반되는 법률행위는 공공의 질서에 반하므로 무효이다.
강행규정은 그 효력에 있어서 단속규정과 구별된다. 양자는 다같이 일정한 행위를 금지하는 규정이지만 단속규정은 그 위반 행위를 한 자에 대하여 제제를 가하여 금지하는데 그칠 뿐이지만, 강행규정은 그 사법상의 효과를 부인한다.
강행규정을 강행법규 혹은 강제법규나 강제규정으로 부르는 경우도 있다."
개량재개발(改良再開發),ㄱ,"주택재개발사업방식의 하나로, 개량재개발은 철거재개발과 반대방식으로 수행하는 재개발이다. 즉, 지구내의 주거환경을 점진적으로 개선해 나가는 재개발 방식이다."
개발부담금(開發負擔金),ㄱ,"개발부담금이란 개발이익환수에관한법률에 근거하여 택지개발사업(주택단지조성사업을 포함)이나 도심재개발사업, 지목변경이 수반되는 사업을 시행하는 토지소유자 등에게 부과되는 부담금을 의미한다(동법 제5조, 제6조).
개발부담금액은 원칙적으로 개발로 인한 토지가격 상승분의 100분 50을 부과한다. 부과기준액은 다음의 산식으로 정해진다(동법 제8조, 제13조).
부과기준액 = 종료시점지가 - (개시시점지가 ＋ 부과기간 동안의 정상지가 상승분 ＋ 개발비용)"
개발사업(開發事業),ㄱ,개발사업이라 함은 국가 또는 지방자치단체로부터 인가ㆍ허가ㆍ면허ㆍ신고등을 받아 시행하는 택지개발사업ㆍ공업단지조성사업등 개발이익환수에관한법률 제5조의 규정에 의한 사업을 말한다(개발이익환수에관한법률 제2조제2호).
"개발이익(開發利益, development benefit)",ㄱ,"개발이익이라 함은 개발사업의 시행 또는 토지이용계획의 변경 기타 사회ㆍ경제적 요인에 의하여 정상지가상승분을 초과하여 개발사업을 시행하는 자 또는 토지소유자에게 귀속되는 토지가액의 증가분을 말한다(개발이익환수에관한법률 제2조제1호).
보다 넓은 의미에서 개발이익은 개발에 의해 새로 창조된 증가가치의 총합을 의미하는 것으로, 직접 개발된 구역 내에 생기는 이익과 구역 외의 토지 등이 받는 수익이 포함된다. 또 이익의 배분면에서 보면 개발자가 얻는 이익 외에 개발자 이외의 자가 받는 이익도 포함된다.
개발이익은 무형의 것도 포함되며 또 이익이 미치는 범위를 확정함이 곤란하다는 등의 문제로 인해 정확하게 파악한기가 어렵다. 개발이익은 그 이익창출에 공헌한  비율에 따라 공평하게 분배해야 하나, 현실은 분배에 관한 명확한 원칙이 명시되어 있지 않은 상태로 되어 있다."
개발제한구역(開發制限區域) = 그린벨트(Green Belt),ㄱ,"개발제한구역 혹은 그린벨트란 도시의 무질서한 확산을 방지하고 도시주변의 자연환경을 보전하여 도시민의 건전한 생활환경을 확보하기 위하여 도시의 개발을 제한할 필요가 있거나 국방부장관의 요청이 있어 보안상 도시의 개발을 제한할 필요가 있다고 인정되는 경우 건설교통부장관이 지정하는 지역을 말한다(개발제한구역의지정및관리에관한특별조치법 제3조).
개발제한구역에서는 그 지정목적에 위배되는 건축물의 건축 및 용도변경, 공작물의 설치, 토지의 형질변경, 죽목의 벌채, 토지의 분할, 물건을 쌓아놓는 행위 또는 도시계획법의 규정에 의한 도시계획사업의 시행을 할 수 없다(동법 제11조)."
개발제한구역관리계획(開發制限區域管理計劃),ㄱ,"개발제한구역을 종합적으로 관리하기 위하여 5년 단위로 개발제한구역을 관할하는 특별시장ㆍ광역시장 또는 도지사가 수립하는 다음의 사항이 포한된 계획으로, 계획의 수립을 위해서는 건설교통부장관의 승인을 얻어야 한다(개발제한구역의지정및관리에관한특별조치법 제10조제1항).
  1. 개발제한구역의 관리의 목표와 기본방향
  2. 개발제한구역의 현황 및 실태의 조사
  3. 개발제한구역의 토지이용 및 보전
  4. 개발제한구역안에서 도시계획법 제3조제7호의 규정에 의한 도시계획시설의 설치
  5. 개발제한구역에서의 대통령령이 정하는 규모 이상의 건축물의 건축 및 토지의 형질변경
  6. 제14조의 규정에 의한 취락지구의 지정 및 정비
  7. 제15조의 규정에 의한 주민지원사업
  8. 개발제한구역의 관리 및 주민지원사업에 필요한 재원의 조달 및 운용
  9. 기타 개발제한구역의 합리적인 관리를 위하여 대통령령이 정하는 사항"
