행정구역,2025년09월_계_총인구수,2025년09월_계_연령구간인구수,2025년09월_계_0~9세,2025년09월_계_10~19세,2025년09월_계_20~29세,2025년09월_계_30~39세,2025년09월_계_40~49세,2025년09월_계_50~59세,2025년09월_계_60~69세,2025년09월_계_70~79세,2025년09월_계_80~89세,2025년09월_계_90~99세,2025년09월_계_100세 이상,2025년09월_남_총인구수,2025년09월_남_연령구간인구수,2025년09월_남_0~9세,2025년09월_남_10~19세,2025년09월_남_20~29세,2025년09월_남_30~39세,2025년09월_남_40~49세,2025년09월_남_50~59세,2025년09월_남_60~69세,2025년09월_남_70~79세,2025년09월_남_80~89세,2025년09월_남_90~99세,2025년09월_남_100세 이상,2025년09월_여_총인구수,2025년09월_여_연령구간인구수,2025년09월_여_0~9세,2025년09월_여_10~19세,2025년09월_여_20~29세,2025년09월_여_30~39세,2025년09월_여_40~49세,2025년09월_여_50~59세,2025년09월_여_60~69세,2025년09월_여_70~79세,2025년09월_여_80~89세,2025년09월_여_90~99세,2025년09월_여_100세 이상
충청북도 청주시 서원구 산남동,"24,938","24,938","1,486","3,324","3,228","2,726","4,159","5,031","2,955","1,328",580,118,3,"12,500","12,500",746,"1,706","1,781","1,447","1,979","2,472","1,523",592,230,24,0,"12,438","12,438",740,"1,618","1,447","1,279","2,180","2,559","1,432",736,350,94,3
충청북도 청주시 서원구 분평동,"27,822","27,822","1,455","3,227","3,561","2,888","3,967","5,992","3,820","1,760",988,159,5,"13,401","13,401",742,"1,683","1,947","1,514","1,782","2,853","1,829",709,297,44,1,"14,421","14,421",713,"1,544","1,614","1,374","2,185","3,139","1,991","1,051",691,115,4
충청북도 청주시 서원구 수곡1동,"12,468","12,468",344,751,"1,638","1,274","1,334","2,157","2,560","1,537",763,105,5,"6,294","6,294",169,414,873,771,752,"1,059","1,234",703,292,27,0,"6,174","6,174",175,337,765,503,582,"1,098","1,326",834,471,78,5
충청북도 청주시 서원구 수곡2동,"14,691","14,691",650,"1,151","1,409","1,576","1,694","2,610","3,080","1,614",773,133,1,"7,294","7,294",343,607,786,874,883,"1,264","1,530",720,259,28,0,"7,397","7,397",307,544,623,702,811,"1,346","1,550",894,514,105,1
충청북도 청주시 서원구 성화.개신.죽림동,"41,862","41,862","2,120","4,381","6,230","4,993","6,241","7,514","6,060","2,945","1,181",192,5,"20,704","20,704","1,108","2,317","3,360","2,719","3,022","3,576","2,789","1,316",454,42,1,"21,158","21,158","1,012","2,064","2,870","2,274","3,219","3,938","3,271","1,629",727,150,4
충청북도 청주시 흥덕구,"292,227","292,227","23,345","27,820","37,093","50,069","46,010","46,826","36,363","16,214","7,160","1,302",25,"149,052","149,052","11,958","14,304","19,885","27,321","23,856","23,351","17,906","7,610","2,546",312,3,"143,175","143,175","11,387","13,516","17,208","22,748","22,154","23,475","18,457","8,604","4,614",990,22
충청북도 청주시 흥덕구 오송읍,"47,562","47,562","4,987","3,917","5,946","11,348","7,570","6,358","4,502","1,862",899,171,2,"23,907","23,907","2,521","2,020","2,855","6,028","3,975","3,095","2,183",855,338,37,0,"23,655","23,655","2,466","1,897","3,091","5,320","3,595","3,263","2,319","1,007",561,134,2
충청북도 청주시 흥덕구 강내면,"10,675","10,675",495,933,"1,347","1,103","1,403","1,869","1,949",988,481,104,3,"5,520","5,520",250,482,724,637,727,971,"1,029",512,167,21,0,"5,155","5,155",245,451,623,466,676,898,920,476,314,83,3
충청북도 청주시 흥덕구 옥산면,"16,861","16,861","1,651","1,395","1,282","2,657","2,749","2,595","2,604","1,225",593,109,1,"8,602","8,602",830,713,706,"1,348","1,491","1,340","1,322",625,196,31,0,"8,259","8,259",821,682,576,"1,309","1,258","1,255","1,282",600,397,78,1
충청북도 청주시 흥덕구 운천.신봉동,"13,694","13,694",480,"1,039","1,517","1,429","1,689","2,675","2,704","1,374",653,130,4,"6,713","6,713",245,540,833,776,879,"1,299","1,260",634,217,28,2,"6,981","6,981",235,499,684,653,810,"1,376","1,444",740,436,102,2
충청북도 청주시 흥덕구 복대1동,"50,720","50,720","4,656","6,442","5,952","8,198","9,604","8,438","4,633","1,877",788,128,4,"26,160","26,160","2,414","3,302","3,358","4,416","4,809","4,355","2,308",871,299,28,0,"24,560","24,560","2,242","3,140","2,594","3,782","4,795","4,083","2,325","1,006",489,100,4
충청북도 청주시 흥덕구 복대2동,"15,159","15,159",398,860,"3,108","2,016","1,606","2,415","2,587","1,441",640,86,2,"7,927","7,927",185,437,"1,813","1,290",878,"1,179","1,257",631,238,19,0,"7,232","7,232",213,423,"1,295",726,728,"1,236","1,330",810,402,67,2
충청북도 청주시 흥덕구 가경동,"53,655","53,655","3,894","6,144","6,224","6,748","8,454","10,078","7,664","3,058","1,173",214,4,"26,210","26,210","1,988","3,167","3,322","3,492","4,031","4,687","3,641","1,401",423,58,0,"27,445","27,445","1,906","2,977","2,902","3,256","4,423","5,391","4,023","1,657",750,156,4
충청북도 청주시 흥덕구 봉명1동,"12,904","12,904",881,707,"1,940","2,944","1,713","1,876","1,649",859,294,41,0,"6,874","6,874",485,376,"1,011","1,671",991,975,819,410,122,14,0,"6,030","6,030",396,331,929,"1,273",722,901,830,449,172,27,0
충청북도 청주시 흥덕구 봉명2.송정동,"23,326","23,326","1,090","1,935","3,534","4,222","3,476","3,974","3,155","1,297",556,86,1,"12,665","12,665",585,996,"1,952","2,590","1,973","2,134","1,601",622,190,21,1,"10,661","10,661",505,939,"1,582","1,632","1,503","1,840","1,554",675,366,65,0
충청북도 청주시 흥덕구 강서제1동,"30,484","30,484","2,028","2,664","4,493","5,243","4,529","4,924","3,810","1,782",837,170,4,"15,412","15,412","1,051","1,331","2,253","2,903","2,329","2,497","1,897",829,286,36,0,"15,072","15,072",977,"1,333","2,240","2,340","2,200","2,427","1,913",953,551,134,4
충청북도 청주시 흥덕구 강서제2동,"17,187","17,187","2,785","1,784","1,750","4,161","3,217","1,624","1,106",451,246,63,0,"9,062","9,062","1,404",940,"1,058","2,170","1,773",819,589,220,70,19,0,"8,125","8,125","1,381",844,692,"1,991","1,444",805,517,231,176,44,0
충청북도 청주시 청원구,"188,384","188,384","13,296","20,040","22,357","27,166","31,375","29,306","24,532","12,567","6,562","1,159",24,"97,177","97,177","6,885","10,233","12,322","15,377","16,548","15,170","12,230","5,832","2,311",265,4,"91,207","91,207","6,411","9,807","10,035","11,789","14,827","14,136","12,302","6,735","4,251",894,20
충청북도 청주시 청원구 내수읍,"18,935","18,935",854,"1,613","2,050","1,876","2,468","3,688","3,495","1,699",992,194,6,"9,826","9,826",427,869,"1,226","1,076","1,303","1,949","1,824",795,318,39,0,"9,109","9,109",427,744,824,800,"1,165","1,739","1,671",904,674,155,6
충청북도 청주시 청원구 오창읍,"68,275","68,275","6,934","8,741","6,997","12,662","13,917","9,134","5,673","2,710","1,244",261,2,"36,470","36,470","3,597","4,446","3,978","7,249","7,491","4,978","2,904","1,309",464,52,2,"31,805","31,805","3,337","4,295","3,019","5,413","6,426","4,156","2,769","1,401",780,209,0
충청북도 청주시 청원구 북이면,"4,045","4,045",56,121,202,246,308,662,"1,123",728,496,101,2,"2,158","2,158",32,60,132,159,203,406,635,348,162,21,0,"1,887","1,887",24,61,70,87,105,256,488,380,334,80,2
충청북도 청주시 청원구 우암동,"12,143","12,143",345,753,"2,285","1,417","1,292","1,793","2,019","1,331",793,114,1,"6,109","6,109",172,366,"1,165",807,719,"1,002",980,582,287,28,1,"6,034","6,034",173,387,"1,120",610,573,791,"1,039",749,506,86,0
충청북도 청주시 청원구 내덕1동,"7,684","7,684",189,422,802,705,842,"1,385","1,573","1,052",614,98,2,"3,881","3,881",83,214,457,442,480,739,747,463,230,26,0,"3,803","3,803",106,208,345,263,362,646,826,589,384,72,2
충청북도 청주시 청원구 내덕2동,"12,824","12,824",617,"1,022","1,937","1,509","1,699","2,124","2,039","1,183",624,67,3,"6,591","6,591",326,520,"1,036",888,933,"1,080",998,544,247,19,0,"6,233","6,233",291,502,901,621,766,"1,044","1,041",639,377,48,3
충청북도 청주시 청원구 율량.사천동,"46,878","46,878","2,784","4,752","6,439","6,579","7,321","7,984","6,617","2,883","1,281",233,5,"23,496","23,496","1,453","2,459","3,463","3,701","3,690","3,733","3,156","1,346",431,63,1,"23,382","23,382","1,331","2,293","2,976","2,878","3,631","4,251","3,461","1,537",850,170,4
충청북도 청주시 청원구 오근장동,"17,600","17,600","1,517","2,616","1,645","2,172","3,528","2,536","1,993",981,518,91,3,"8,646","8,646",795,"1,299",865,"1,055","1,729","1,283",986,445,172,17,0,"8,954","8,954",722,"1,317",780,"1,117","1,799","1,253","1,007",536,346,74,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
